,Tempo,Memoria Utilizada (GB),Percentual Global de Processamento Utilizado
0,0,0.5142555236816406,58.4
1,1,0.514007568359375,35.1
2,2,0.5135345458984375,36.5
3,3,0.5142478942871094,34.3
4,4,0.5139961242675781,41.3
5,5,0.5143852233886719,41.2
6,6,0.5140304565429688,40.2
7,7,0.5143089294433594,33.5
8,8,0.5149917602539062,35.2
9,9,0.5154647827148438,34.7
10,10,0.5150260925292969,33.2
11,11,0.5149421691894531,35.2
12,12,0.5152702331542969,34.8
13,13,0.5142478942871094,35.1
14,14,0.5140838623046875,35.5
15,15,0.5140571594238281,33.8
16,16,0.5137748718261719,34.6
17,17,0.5142707824707031,43.2
18,18,0.5144691467285156,42.6
19,19,0.5140151977539062,37.8
20,20,0.5143356323242188,33.4
21,21,0.514495849609375,34.4
22,22,0.5145721435546875,35.6
23,23,0.513824462890625,35.7
24,24,0.5147514343261719,35.2
25,25,0.5142936706542969,34.5
26,26,0.5142555236816406,34.6
27,27,0.514984130859375,36.2
28,28,0.5142707824707031,34.6
29,29,0.5142478942871094,36.5
30,30,0.5142822265625,42.6
31,31,0.5137863159179688,42.2
32,32,0.514007568359375,36.6
33,33,0.5130615234375,33.9
34,34,0.5142822265625,35.7
35,35,0.5138320922851562,36.1
36,36,0.5147171020507812,37.2
37,37,0.5143661499023438,34.7
38,38,0.5139961242675781,35.4
39,39,0.51324462890625,35.4
40,40,0.513519287109375,35.2
41,41,0.5132522583007812,33.7
42,42,0.5133590698242188,39.8
43,43,0.5130386352539062,42.7
44,44,0.5136451721191406,41.6
45,45,0.5144729614257812,35.5
46,46,0.5140953063964844,33.9
47,47,0.51446533203125,36.2
48,48,0.5145225524902344,34.2
49,49,0.5147056579589844,35.5
50,50,0.514495849609375,35.3
51,51,0.5145301818847656,35.6
52,52,0.5142173767089844,34.6
53,53,0.514251708984375,33.8
54,54,0.5135498046875,34.0
55,55,0.5142097473144531,40.1
56,56,0.5137062072753906,40.4
57,57,0.5142059326171875,39.7
58,58,0.5144577026367188,34.6
59,59,0.5137252807617188,35.2
60,60,0.5137290954589844,35.6
61,61,0.5142059326171875,34.4
62,62,0.5139999389648438,34.8
63,63,0.5142326354980469,34.6
64,64,0.5137672424316406,36.0
65,65,0.513031005859375,34.8
66,66,0.5125846862792969,35.1
67,67,0.5137710571289062,34.4
68,68,0.5135383605957031,42.0
69,69,0.514495849609375,39.9
70,70,0.5132942199707031,39.3
71,71,0.5137748718261719,33.6
72,72,0.5135307312011719,35.1
73,73,0.5135345458984375,34.3
74,74,0.5132904052734375,35.1
75,75,0.5137710571289062,34.8
76,76,0.5140113830566406,35.2
77,77,0.5140304565429688,35.8
78,78,0.5142478942871094,34.3
79,79,0.5140533447265625,36.2
80,80,0.5140533447265625,37.2
81,81,0.5133323669433594,38.7
82,82,0.513275146484375,42.8
83,83,0.513031005859375,35.8
84,84,0.5125923156738281,34.8
85,85,0.5125885009765625,33.6
86,86,0.5132713317871094,34.2
87,87,0.5135421752929688,36.2
88,88,0.5142326354980469,35.3
89,89,0.5137786865234375,34.8
90,90,0.5142402648925781,35.0
91,91,0.5135116577148438,34.9
92,92,0.5135078430175781,35.6
93,93,0.5137481689453125,39.7
94,94,0.5130767822265625,41.2
95,95,0.5142478942871094,39.4
96,96,0.5144920349121094,36.4
97,97,0.5137672424316406,35.8
98,98,0.5140113830566406,34.5
99,99,0.5140304565429688,33.2
100,100,0.5132598876953125,37.1
101,101,0.51373291015625,35.2
102,102,0.5130157470703125,34.2
103,103,0.513763427734375,34.6
104,104,0.5132598876953125,36.1
105,105,0.5135269165039062,33.9
106,106,0.5134925842285156,40.3
107,107,0.5132484436035156,41.9
108,108,0.5145225524902344,40.9
109,109,0.5137214660644531,34.8
110,110,0.5134849548339844,35.6
111,111,0.5134963989257812,35.5
112,112,0.5139656066894531,34.2
113,113,0.5132904052734375,35.2
114,114,0.5134811401367188,35.1
115,115,0.5134773254394531,35.6
116,116,0.5133323669433594,33.9
117,117,0.5140228271484375,35.1
118,118,0.5132484436035156,33.9
119,119,0.5137138366699219,42.3
120,120,0.5144462585449219,42.0
121,121,0.5142021179199219,40.1
122,122,0.5132064819335938,35.5
123,123,0.5132331848144531,36.3
124,124,0.514434814453125,36.0
125,125,0.5149116516113281,33.1
126,126,0.514434814453125,33.4
127,127,0.51519775390625,36.6
128,128,0.5149078369140625,34.9
129,129,0.5146751403808594,34.6
130,130,0.5144271850585938,35.2
131,131,0.5149002075195312,36.4
132,132,0.515411376953125,43.1
133,133,0.5148811340332031,41.1
134,134,0.5146560668945312,37.0
135,135,0.514678955078125,34.2
136,136,0.5143928527832031,34.4
137,137,0.5142021179199219,35.2
138,138,0.5141639709472656,34.0
139,139,0.5139236450195312,35.4
140,140,0.514404296875,35.1
141,141,0.514892578125,34.9
142,142,0.514923095703125,34.6
143,143,0.5151634216308594,32.3
144,144,0.5149116516113281,39.5
145,145,0.5148849487304688,41.7
146,146,0.5146827697753906,40.9
147,147,0.5144691467285156,36.7
148,148,0.51373291015625,35.9
149,149,0.51416015625,34.5
150,150,0.51416015625,34.2
151,151,0.5149803161621094,34.8
152,152,0.5144081115722656,35.8
153,153,0.5146675109863281,33.5
154,154,0.5151634216308594,34.9
155,155,0.5136909484863281,34.6
156,156,0.5144386291503906,35.7
157,157,0.5151557922363281,39.5
158,158,0.5146980285644531,41.9
159,159,0.5142173767089844,40.6
160,160,0.5149574279785156,35.0
161,161,0.5149192810058594,34.7
162,162,0.5148849487304688,35.6
163,163,0.5135002136230469,35.9
164,164,0.513916015625,33.9
165,165,0.5134391784667969,33.9
166,166,0.5144309997558594,35.0
167,167,0.514892578125,34.9
168,168,0.5143852233886719,34.4
169,169,0.5142021179199219,35.2
170,170,0.51397705078125,41.0
171,171,0.5132255554199219,42.2
172,172,0.5134773254394531,40.5
173,173,0.5137252807617188,36.0
174,174,0.5149116516113281,34.2
175,175,0.5151290893554688,36.1
176,176,0.515106201171875,33.8
177,177,0.5151252746582031,34.8
178,178,0.5146713256835938,34.0
179,179,0.5151710510253906,34.6
180,180,0.5153617858886719,34.8
181,181,0.5146446228027344,33.4
182,182,0.5142173767089844,36.6
183,183,0.5147323608398438,41.4
184,184,0.5147018432617188,42.2
185,185,0.51513671875,37.5
186,186,0.5158233642578125,35.1
187,187,0.5158309936523438,35.6
188,188,0.514373779296875,36.0
189,189,0.5151023864746094,34.1
190,190,0.5143775939941406,32.7
191,191,0.5144233703613281,35.1
192,192,0.5138969421386719,33.9
193,193,0.5136222839355469,35.7
194,194,0.5138931274414062,33.7
195,195,0.5143661499023438,38.4
196,196,0.5150566101074219,41.6
197,197,0.5141258239746094,40.9
198,198,0.5144538879394531,36.1
199,199,0.514373779296875,35.5
